,Messages,Time Stamp,Spam
59,Maintain Buy on Hcl Techno tg 1200-1250-1280 with in few days. just buy and Hold it.,08-02-2022 13.47,
60,Today all the shorters will lose their underwears and run crazily for cover..This may be the last chance to cover up their maan maryada nahin tho nanga naachna padega bachchon,08-02-2022 13.37,
61,HCL TECH will cross 1250 within this week..Huge accumulation by both FIIs and DIIs is happening..All shorters will be forced to square off as this stock is not going to look back..Massive upmove will start very soon,08-02-2022 13.24,
62,Currently trading at lower price due to industry dynamics. But the stock has a long term upside potential for more info v.gd/GjmAyK,08-02-2022 13.18,
63,"strong it will touch 1170 today, have patience............",08-02-2022 12.45,
64,Buy HCL Tech with target of 1171 & Stop loss at 1149...visit goyaltips,08-02-2022 11.59,
65,Sell HCL Tech with target of 1138 & Stop loss at 1160...visit goyaltips,08-02-2022 11.05,
66,HCL TECH : The weekly momentum indicator has triggered a bullish crossover. However The RSI factor should be considered to analyse the Entry point,08-02-2022 10.56,
67,refusing to go down ...once market sentiment turns positive...it will fly ...,08-02-2022 9.44,
68,"Banking BPS Market to Witness Huge Growth by 2027 | Infosys Limited, Atos SE, HCL technologies Limited, Avaloq, Capgemini, Cognizant",08-02-2022 9.10,
69,buy hcl tech 1155 any time today it can shoot to 1200,07-02-2022 13.51,
70,Quarterly result will start soon to get the latest updates more info v.gd/GjmAyK,07-02-2022 13.04,
71,Short Term pick : Buy hcl Tech at 1150 Target 1350,07-02-2022 13.04,
72,Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,07-02-2022 13.04,
73,HCL TECH is making higher highs and higher lows..Very strong accumulation see at every level..HCL TECH lilely make new 52 week high very soon.Results for the next 5 years will be excellent..Worth buying at all levels,07-02-2022 12.22,
74,"if index options are your cup of tea, for profits remember",07-02-2022 11.41,
75,Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info v.gd/GjmAyK,07-02-2022 11.32,
76,Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,07-02-2022 11.03,
77,Fundamentally strong stock add at every dips for long term,07-02-2022 10.50,
78,Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,07-02-2022 10.44,
79,Strong movement will start after this week so stay hold your horses of this stock very tightly,06-02-2022 19.48,
80,Take care your time with this stock investigate all previous history and decide what you are wasting..,06-02-2022 19.47,
81,Stock investigate before invest and get with this stock you are on right path..keep stay with it,06-02-2022 19.47,
82,Ready for sustain again on coming days so be ready for see more actions for more updates and tipx wtzppp on 844549: 2O56,06-02-2022 19.36,
83,If You are newbie then stay away from this stock its Not for you.,06-02-2022 18.12,
84,Stock investigate before invest and get with this stock you are on right path..keep stay with it,06-02-2022 17.54,
85,Please check the TDS figures for previous dividend payouts. You might have crossed 5000 annual dividend threshold for TDS in the current payout. HCL would deduct TDS for previous payouts also.,06-02-2022 17.37,
86,I am having 100 shares from last one year company announced Rs. 10/- per share div.record date 20/01/22. I had received rs. 480/- instead of 1000/- why this happens anybody tell me,06-02-2022 16.29,
87,EACH AND EVERY SMALL INVESTOR SHOULD KEEP MIND MARKET MAGIC WORD (SWOT) S.. stop loss.. W..weakness of stock...O.. opportunity. T ... target .. ALL THE BEST.....,06-02-2022 6.49,
88,HCLTECH SHOWING GOOD STRENGTH KEEP TGT AROUND 1175 - 1200 - 1250 - SL 1120,05-02-2022 23.24,
89,This stock may give you 2x 3x 4x return this year for sure...very bullish on technical charts..,04-02-2022 21.10,
90,This is the best time to take entry in this stock now..,04-02-2022 21.10,
91,Take care your time with this stock investigate all previous history and decide what you are wasting..,04-02-2022 20.09,
92,Stock investigate before invest and get with this stock you are on right path..keep stay with it,04-02-2022 20.09,
93,The daily price action has formed a small bearish candle should consider Reliance cautiously to know exact target point for more info bnfs.at/TpJN,04-02-2022 16.27,
94,Once again HCL TECH is on the verge of a breakout..Entire market will now concentrate on sectors which will not be impacted by high inflation and crude oil prices..IT and pharma will be eyed by most investors atleast for next few months..HC...&nbsp,04-02-2022 16.10,
95,"Looks like a HAMMER candlestick pattern, guess uptrend next week...",04-02-2022 15.02,
96,"Nikkei, European Markets Green, After market hours all USA index green... Monday Hcl: Target 1800-1200 Best time to Enter.. Good Price,",04-02-2022 14.26,
97,in hcl counter if one look at share holding pattern FII/FPI are consistently selling this share from 29% to 20 from march 19 to Dec 21. THIS not the case other IT MAJORS..... hence cautious and DII LIQUIDATE this stock where the price goes ...&nbsp,04-02-2022 14.07,
98,Buy HCL Tech with target of 1174 & Stop loss at 1152...visit goyaltips,04-02-2022 13.59,
99,"Nasdaq will close in green, will recover today. 250 billion disappeared from Facebook got reinvested in IT sector again so Nasdaq/all IT Index will be back in Green in no time, Hold or Buy more for more profits",04-02-2022 10.06,
100,Panic FII selling: Smart DII buying: Facebook stock selling: Facebook Social Network stock: No Connection to Nifty IT. Today HCL hollow green candle best time and good price to enter target 1180 - 1200,04-02-2022 9.59,
101,"add HCLTECH put, hcl will close below 1100, global sell of triggered in IT stocks",04-02-2022 9.54,
