,Messages,Time Stamp,Spam
48,"We can not expect owner in ITC, which is practically not possible at present scenario unless big investors like Govt or BTA exits by selling. At least we need responsible traders. With all fundamentals improving and profitability and its RO...&nbsp",10-02-2022 12.14,
49,Will I get dividend if I buy today?,10-02-2022 12.03,
50,Adani wilmar have a responsible owner who will ensure that people who capable will take care of business. Puri have no one to pressurize him. retail investors doesnt matter for him.,10-02-2022 11.50,
51,You are asking a person who cant be employed anywhere there is a responsible promoter . He will survive like this on investors money without taking any chance or risk. A good business he inherited no other contribution from his side than ge...&nbsp,10-02-2022 11.49,
52,nifty 600 point recover kar gi yo 6 point bhi recover nahi kar raha,10-02-2022 11.43,
53,"ITC operator must learn from REC operator, both cases dividends have been declared. However REC is moving nicely. ITC is like cursed stock will remain always cursed to those who are manipulating and think they only have to live in this worl...&nbsp",10-02-2022 9.49,
54,Itc Management and md Is so called No wrong word written in the world remaining which will apply in there people Such a bakwas share even time to switch Adani Wilmar 1000 long term as per Charts,10-02-2022 9.44,
55,Sell ITC with target of 225 & Stop loss at 231...visit goyaltips,10-02-2022 9.38,
56,Nobody ever made high returns in the stock market without taking risk.,10-02-2022 9.24,
57,There can be shares that are at an all-time low and are still not worth paying for. There can be shares that have reached their all-time high and still be worth investing in.,10-02-2022 9.23,
58,Adani Wilmar in just 3 days touch 375 from 227 Its power of FMCG itc is now cigarette company,10-02-2022 9.17,
59,"Index opened gap up 90 points, ITC opened gap down 1.5. Such a heights of manipulation by few dirty traders. Totally cursed individual investors.",10-02-2022 9.13,
60,"Target rs 400/-... excellent performance.. itc q3 earnings: revenue up 30 percent to rs 18,366 crore..net profit rs 4156 crore for q3.........",09-02-2022 19.04,
61,"Sharp upward trend will be seen in itc..well professionally managed, good corporate governance, good quality products, good brand leaders . target rs 350 to 500/- in coming seasons..........",09-02-2022 19.17,
62,"tommorow ITC day , minimum 3% movement on upside",09-02-2022 19.43,
63,Booked Profit on this counter.. My average price was and sold 3000 shares at 230rs.. I dont want the dividend instead I will renter around 199. So i will be on profit side,09-02-2022 15.39,
64,"sab share bad jaayenge, yah yahi rah jaayega....",09-02-2022 15.02,
65,Its the responsibility of people at helm to really work for shareholders apart from for themselves. No promoter means no boss to question a worker.,09-02-2022 14.36,
66,"this is the power of itc negetive market me positive, positive market me negetive",09-02-2022 13.40,
67,"Its only operator group buying and selling it seems, no investors are attracted due to their bad intentions of shorting and bringing down on every instances. If it starts normal up move also can move 3%-5% easily with all positivity backing...&nbsp",09-02-2022 13.33,
68,Never depend on single income. Make investment to create second source for more info..,09-02-2022 13.27,
69,"I never seen such worst stock daily going down, all the brokers recommendations on ITC are gone down in history",09-02-2022 13.20,
70,"I can only feel bad for ITC investors. I know your pain because every retail investors would have experienced atleast once in their lifetime of investing. this stock is not rising for two main reasons: one, this is a sin stock so FIIs wont ...&nbsp",09-02-2022 13.15,
71,I think this will go below 210 in coming days..as after results this is more tend to downside..I think this has been sustaining because of qtr profits..otherwise it would have gone below 200..giving 5 rupees dividend and stock down to 10-15...&nbsp,09-02-2022 12.49,
